year,source_id,reserved_capacity_tpy,planned_gross_delivery_t,first_delivery_month,order_date,role
2035,A,0,0,1,,base
2035,B,0,0,1,,base
2035,C,0,0,1,,base
2035,D,0,0,1,,base
2035,E,0,0,1,,insurance
2036,A,0,0,1,,base
2036,B,0,0,1,,base
2036,C,0,0,1,,base
2036,D,0,0,1,,base
2036,E,0,0,1,,insurance
2037,A,0,0,1,,base
2037,B,0,0,1,,base
2037,C,0,0,1,,base
2037,D,0,0,1,,base
2037,E,0,0,1,,insurance
2038,A,0,0,1,,base
2038,B,0,0,1,,base
2038,C,0,0,1,,base
2038,D,0,0,1,,base
2038,E,0,0,1,,insurance
2039,A,0,0,1,,base
2039,B,0,0,1,,base
2039,C,0,0,1,,base
2039,D,0,0,1,,base
2039,E,0,0,1,,insurance
2040,A,0,0,1,,base
2040,B,0,0,1,,base
2040,C,0,0,1,,base
2040,D,0,0,1,,base
2040,E,0,0,1,,insurance
